scenario,variant,n,penalty,weight,strategy,ndcg
running,delay,5,5,var1,HybridWithUncertaintyPropagation,0.964756
running,delay,5,5,var1,HybridWithUncertaintyAndPenalty,0.947297
running,delay,5,5,var1,HybridWithUncertaintyPropagationAndPenalty,0.954447
running,delay,5,7,var0,Subtree,0.925519
running,delay,5,7,var0,SubtreeWithUncertainty,0.926353
running,delay,5,7,var0,SubtreeWithUncertaintyPropagation,0.917207
running,delay,5,7,var0,SubtreeWithPenalty,0.925519
running,delay,5,7,var0,SubtreeWithUncertaintyPropagationAndPenalty,0.929511
running,delay,5,7,var0,ResponseTimeAnalysis,0.870533
running,delay,5,7,var0,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,7,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.932833
running,delay,5,7,var0,HybridWithUncertainty,0.964756
running,delay,5,7,var0,HybridWithUncertaintyPropagation,0.964756
running,delay,5,7,var0,HybridWithUncertaintyAndPenalty,0.950455
running,delay,5,7,var0,HybridWithUncertaintyPropagationAndPenalty,0.950455
running,delay,5,7,var1,Subtree,0.925519
running,delay,5,7,var1,SubtreeWithUncertainty,0.926353
running,delay,5,7,var1,SubtreeWithUncertaintyPropagation,0.926353
running,delay,5,7,var1,SubtreeWithPenalty,0.925519
running,delay,5,7,var1,SubtreeWithUncertaintyPropagationAndPenalty,0.929511
running,delay,5,7,var1,ResponseTimeAnalysis,0.870533
running,delay,5,7,var1,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,7,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.929675
running,delay,5,7,var1,HybridWithUncertainty,0.964756
running,delay,5,7,var1,HybridWithUncertaintyPropagation,0.964756
running,delay,5,7,var1,HybridWithUncertaintyAndPenalty,0.947297
running,delay,5,7,var1,HybridWithUncertaintyPropagationAndPenalty,0.947297
running,delay,5,9,var1,Subtree,0.925519
running,delay,5,9,var1,SubtreeWithUncertainty,0.926353
running,delay,5,9,var1,SubtreeWithUncertaintyPropagation,0.926353
running,delay,5,9,var1,SubtreeWithPenalty,0.925519
running,delay,5,9,var1,SubtreeWithUncertaintyPropagationAndPenalty,0.929511
running,delay,5,9,var1,ResponseTimeAnalysis,0.870533
running,delay,5,9,var1,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,9,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.929675
running,delay,5,9,var1,HybridWithUncertainty,0.964756
running,delay,5,9,var1,HybridWithUncertaintyPropagation,0.964756
running,delay,5,9,var1,HybridWithUncertaintyAndPenalty,0.947297
running,delay,5,9,var1,HybridWithUncertaintyPropagationAndPenalty,0.947297
running,delay,5,9,var0,Subtree,0.925519
running,delay,5,9,var0,SubtreeWithUncertainty,0.926353
running,delay,5,9,var0,SubtreeWithUncertaintyPropagation,0.917207
running,delay,5,9,var0,SubtreeWithPenalty,0.925519
running,delay,5,9,var0,SubtreeWithUncertaintyPropagationAndPenalty,0.929511
running,delay,5,9,var0,ResponseTimeAnalysis,0.870533
running,delay,5,9,var0,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,9,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.932833
